Час,Подія,Деталі
"2026-04-19 14:19:11","Завершення процесу","PID 10992"
"2026-04-19 14:19:09","Завершення процесу","PID 7232"
"2026-04-19 14:19:09","Запуск процесу","OpenWith.exe"
"2026-04-19 14:19:09","Запуск процесу","dllhost.exe"
"2026-04-19 14:19:07","Завершення процесу","PID 19228"
"2026-04-19 14:19:03","Запуск процесу","OpenWith.exe"
"2026-04-19 14:19:03","Запуск процесу","prevhost.exe"
"2026-04-19 14:18:57","Запуск процесу","dllhost.exe"
"2026-04-19 14:18:47","Завершення процесу","PID 19196"
"2026-04-19 14:18:43","Запуск процесу","dllhost.exe"
"2026-04-19 14:18:39","Завершення процесу","PID 10200"
"2026-04-19 14:18:39","Запуск процесу","RuntimeBroker.exe"
"2026-04-19 14:18:35","Запуск процесу","opera.exe"
"2026-04-19 14:18:35","Запуск процесу","dllhost.exe"
"2026-04-19 14:18:31","Завершення процесу","PID 6088"
"2026-04-19 14:18:17","Завершення процесу","PID 12040"
"2026-04-19 14:18:17","Запуск процесу","svchost.exe"
"2026-04-19 14:18:17","Запуск процесу","PhoneExperienceHost.exe"
"2026-04-19 14:18:17","Запуск процесу","backgroundTaskHost.exe"
"2026-04-19 14:17:59","Завершення процесу","PID 5208"
